,id,year,first,second,third,first_origin,second_origin,third_origin,winning_team,age,first_chrono,winner_timedelta,first_seconds,second_seconds,third_seconds,average_speed,num_runners,total_length,num_stages,debut_date,end_date,first_mountain,first_mountain_origin,second_mountain,second_mountain_origin,third_mountain,third_mountain_origin,first_mountain_points,second_mountain_points,third_mountain_points,first_sprint,first_sprint_origin,second_sprint,second_sprint_origin,third_sprint,third_sprint_origin,first_sprint_points,second_sprint_points,third_sprint_points
90,91,2008,Alberto Contador,Riccardo Riccò,Marzio Bruseghin,Espagne,Italie,Italie,CSF Group Navigare,25,89h 56min 49s,3 days 17:56:49,323809.0,,,37.817,198,3401,21,2008-05-10,2008-06-01,Emanuele Salla,Italie,Vasil Kiryienka,Biélorussie,Fortunato Baliani,Italie,136.0,63.0,48.0,Daniele Bennati,Italie,Emanuele Sella,Italie,Riccardo Riccò,Italie,189.0,138.0,131.0
91,92,2009,Denis Menchov,Danilo Di Luca,Franco Pellizotti,Russie,Italie,Italie,Astana,31,86h 03min 11s,3 days 14:03:11,309791.0,,,40.191,198,3456,21,2009-05-09,2009-05-31,Stefano Garzelli,Italie,Danilo Di Luca,Italie,Denis Menchov,Russie,61.0,45.0,41.0,Danilo Di Luca,Italie,Denis Menchov,Russie,Franco Pellizotti,Italie,170.0,144.0,133.0
92,93,2010,Ivan Basso,David Arroyo,Vincenzo Nibali,Italie,Espagne,Italie,Liquigas-Doimo,32,87h 44min 01s,3 days 15:44:01,315841.0,,,39.723,198,3485,21,2010-05-08,2010-05-30,Matthew Lloyd,Australie,Ivan Basso,Italie,Johann Tschopp,Suisse,56.0,41.0,38.0,Cadel Evans,Australie,Alexandre Vinokourov,Kazakhstan,Vincenzo Nibali,Italie,150.0,128.0,116.0
93,94,2011,Alberto Contador,Michele Scarponi,Vincenzo Nibali,Espagne,Italie,Italie,Astana,28,84h 05min 14s,3 days 12:05:14,302714.0,,,40.839,207,3434,21,2011-05-07,2011-05-29,Stefano Garzelli,Italie,Alberto Contador,Espagne,José Rujano,Colombie,67.0,58.0,43.0,Alberto Contador,Espagne,Michele Scarponi,Italie,Vincenzo Nibali,Italie,186.0,122.0,121.0
94,95,2012,Ryder Hesjedal,Joaquim Rodríguez,Thomas De Gendt,Canada,Espagne,Belgique,Lampre-ISD,31,91h 39min 02s,3 days 19:39:02,329942.0,,,38.211,198,3502,21,2012-05-05,2012-05-27,Matteo Rabottini,Italie,Stefano Pirazzi,Italie,Andrey Amador,Costa Rica,84.0,44.0,43.0,Joaquim Rodríguez,Espagne,Mark Cavendish,Royaume-Uni,Ryder Hesjedal,Canada,139.0,138.0,113.0
95,96,2013,Vincenzo Nibali,Rigoberto Urán,Cadel Evans,Italie,Colombie,Australie,Sky,28,84h 53min 28s,3 days 12:53:28,305608.0,,,39.354,207,3341,21,2013-05-04,2013-05-26,Stefano Garzelli,Italie,Giovanni Visconti,Italie,Vincenzo Nibali,Italie,82.0,45.0,45.0,Mark Cavendish,Royaume-Uni,Vincenzo Nibali,Italie,Cadel Evans,Australie,158.0,128.0,111.0
96,97,2014,Nairo Quintana,Rigoberto Urán,Fabio Aru,Colombie,Colombie,Italie,AG2R La Mondiale,24,88h 14min 32s,3 days 16:14:32,317672.0,,,39.128,198,3453,21,2014-05-09,2014-06-01,Julián Arredondo,Colombie,Dario Cataldo,Italie,Nairo Quintana,Colombie,173.0,132.0,88.0,Nacer Bouhanni,France,Giacomo Nizzolo,Italie,Roberto Ferrari,Italie,291.0,265.0,186.0
97,98,2015,Alberto Contador,Fabio Aru,Mikel Landa,Espagne,Italie,Espagne,Astana,32,88h 22min 25s,3 days 16:22:25,318145.0,,,39.31,197,3482,21,2015-05-09,2015-05-31,Giovanni Visconti,Italie,Mikel Landa,Espagne,Steven Kruijswijk,Pays-Bas,125.0,122.0,115.0,Giacomo Nizzolo,Italie,Philippe Gilbert,Belgique,Sacha Modolo,Italie,181.0,148.0,147.0
98,99,2016,Vincenzo Nibali,Esteban Chaves,Alejandro Valverde,Italie,Colombie,Espagne,Etixx-Quick Step,31,86h 32min 49s,3 days 14:32:49,311569.0,,,40.014,198,3463,21,2016-05-06,2016-05-29,Mikel Nieve,Espagne,Damiano Cunego,Italie,Darwin Atapuma,Colombie,152.0,134.0,118.0,Giacomo Nizzolo,Italie,Matteo Trentin,Italie,Sacha Modolo,Italie,209.0,184.0,163.0
99,100,2017,Tom Dumoulin,Naira Quitana,Vincenzo Nibali,Pays-Bas,Colombie,Italie,Quick Step Floors,26,90h 34min 54s,3 days 18:34:54,326094.0,,,39.84,195,3609,21,2017-05-05,2017-05-28,Mikel Landa,Espagne,Luis León Sánchez,Espagne,Omar Fraile,Espagne,224.0,118.0,104.0,Fernando Gaviria,Colombie,Jasper Stuyven,Belgique,Sam Bennett,Irlande,325.0,192.0,117.0
100,101,2018,Christopher Froome,Tom Dumoulin,Miguel Ángel López,Royaume-Uni,Pays-Bas,Colombie,Sky,33,89h 02min 39s,3 days 17:02:39,320559.0,,,40.012,176,3563,21,2018-05-04,2018-05-27,Christopher Froome,Royaume-Uni,Giulio Ciccone,Italie,Simon Yates,Royaume-Uni,125.0,108.0,91.0,Elia Viviani,Italie,Sam Bennett,Irlande,Davide Ballerini,Italie,341.0,282.0,147.0
101,102,2019,Richard Carapaz,Vincenzo Nibali,Primož Roglič,Colombie,Italie,Slovénie,Movistar,26,90h 01min 47s,3 days 18:01:47,324107.0,,,38.726,176,3486,21,2019-05-11,2019-06-02,Giulio Ciccone,Italie,Fausto Masnada,Italie,Damiano Caruso,Italie,267.0,115.0,86.0,Pascal Ackermann,Allemagne,Arnaud Démare,France,Damiano Cima,Italie,226.0,213.0,104.0
