;year;winner;second;third;winner_origin;winning_team;age;winner_chrono;winner_timedelta
66;1980;Joop Zoetemelk;Hennie Kuiper;Raymond Martin;Netherlands;TI-Raleigh;33;109hr 19min 14sec;4 days 13:19:14.000000000
67;1981;Bernard Hinault;Lucien van Impe;Robert Alban;France;Renault;26;96hr 19min 38sec;4 days 00:19:38.000000000
68;1982;Bernard Hinault;Joop Zoetemelk;Johan Van der Velde;France;Renault;27;92hr 8min 46sec;3 days 20:08:46.000000000
69;1983;Laurent Fignon;Angel Arroyo;Peter Winnen;France;Renault;22;105hr 7min 52sec;4 days 09:07:52.000000000
70;1984;Laurent Fignon;Bernard Hinault;Greg LeMond;France;Renault;23;112hr 3min 40sec;4 days 16:03:40.000000000
71;1985;Bernard Hinault;Greg LeMond;Stephen Roche;France;La Vie Claire;30;113hr 24min 23sec;4 days 17:24:23.000000000
72;1986;Greg LeMond;Bernard Hinault;Urs Zimmermann;U.S.A.;La Vie Claire;25;110hr 35min 19sec;4 days 14:35:19.000000000
73;1987;Stephen Roche;Pedro Delgado;Jean-François Bernard;Ireland;Carrera;27;115hr 27min 42sec;4 days 19:27:42.000000000
74;1988;Pedro Delgado;Steven Rooks;Fabio Parra;Spain;Reynolds;28;84hr 27min 58sec;3 days 12:27:58.000000000
75;1989;Greg LeMond;Laurent Fignon;Pedro Delgado;U.S.A.;ADR;28;87hr 38min 35sec;3 days 15:38:35.000000000
76;1990;Greg LeMond;Claudio Chiappucci;Erik Breukink;U.S.A.;Z;29;90hr 43min 20sec;3 days 18:43:20.000000000
77;1991;Miguel Induráin;Gianni Bugno;Claudio Chiappucci;Spain;Banesto;27;101hr 1min 20sec;4 days 05:01:20.000000000
78;1992;Miguel Induráin;Claudio Chiappucci;Gianni Bugno;Spain;Banesto;28;100hr 49min 30sec;4 days 04:49:30.000000000
79;1993;Miguel Induráin;Tony Rominger;Zenon Jaskula;Spain;Banesto;29;95hr 57min 9sec;3 days 23:57:09.000000000
80;1994;Miguel Induráin;Piotr Ugrumov;Marco Pantani;Spain;Banesto;30;103hr 38min 38sec;4 days 07:38:38.000000000
81;1995;Miguel Induráin;Alex Zülle;Bjarne Riis;Spain;Banesto;31;92hr 44min 59sec;3 days 20:44:59.000000000
82;1996;Bjarne Riis;Jan Ullrich;Richard Virenque;Denmark;DeutscheTelekom;32;95hr 57min 16sec;3 days 23:57:16.000000000
83;1997;Jan Ullrich;Richard Virenque;Marco Pantani;Germany;Telekom;23;100hr 30min 35sec;4 days 04:30:35.000000000
84;1998;Marco Pantani;Jan Ullrich;Bobby Julich;Italy;MercatoneUno;28;92hr 49min 46sec;3 days 20:49:46.000000000
85;1999;Lance Armstrong;Alex Zülle;Fernando Escartin;USA;US Postal;27;91hr 32min 16sec;3 days 19:32:16.000000000
86;2000;Lance Armstrong;Jan Ullrich;Joseba Beloki;USA;US Postal;28;92hr 33min 8sec;3 days 20:33:08.000000000
87;2001;Lance Armstrong;Jan Ullrich;Joseba Beloki;USA;US Postal;29;86hr 17min 28sec;3 days 14:17:28.000000000
